iter	Passed	Remaining
0	23	11902
1	46	11643
2	68	11333
3	91	11373
4	112	11180
5	136	11235
6	161	11365
7	183	11302
8	205	11218
9	226	11107
10	248	11039
11	274	11174
12	297	11132
13	318	11073
14	340	11008
15	362	10957
16	383	10897
17	404	10836
18	426	10793
19	448	10759
20	470	10722
21	491	10681
22	513	10655
23	535	10626
24	557	10596
25	579	10570
26	600	10528
27	623	10503
28	643	10458
29	665	10428
30	687	10394
31	707	10347
32	728	10313
33	750	10281
34	785	10431
35	851	10978
36	872	10922
37	894	10874
38	917	10845
39	947	10891
40	968	10844
41	989	10791
42	1010	10740
43	1032	10704
44	1053	10655
45	1074	10606
46	1095	10561
47	1117	10524
48	1139	10485
49	1161	10449
50	1182	10409
51	1203	10372
52	1225	10332
53	1246	10296
54	1273	10305
55	1296	10277
56	1317	10238
57	1339	10205
58	1361	10174
59	1384	10153
60	1406	10119
61	1429	10096
62	1450	10062
63	1472	10031
64	1493	9995
65	1514	9960
66	1536	9928
67	1559	9908
68	1581	9876
69	1603	9848
70	1625	9823
71	1647	9793
72	1668	9760
73	1691	9736
74	1712	9703
75	1734	9674
76	1755	9642
77	1779	9627
78	1800	9596
79	1822	9570
80	1851	9578
81	1874	9556
82	1896	9528
83	1917	9497
84	1948	9512
85	1969	9479
86	1990	9448
87	2011	9416
88	2033	9392
89	2056	9367
90	2078	9341
91	2099	9310
92	2121	9282
93	2143	9257
94	2166	9237
95	2188	9211
96	2210	9182
97	2237	9176
98	2282	9244
99	2317	9271
100	2338	9237
101	2360	9209
102	2381	9177
103	2402	9146
104	2425	9123
105	2448	9102
106	2472	9082
107	2514	9125
108	2570	9220
109	2607	9245
110	2646	9274
111	2679	9282
112	2703	9258
113	2727	9235
114	2770	9276
115	2794	9250
116	2817	9222
117	2858	9254
118	2905	9301
119	2968	9400
120	2999	9395
121	3046	9440
122	3094	9484
123	3140	9521
124	3177	9531
125	3209	9526
126	3238	9511
127	3263	9484
128	3285	9448
129	3306	9410
130	3327	9372
131	3348	9335
132	3370	9299
133	3391	9262
134	3411	9224
135	3432	9187
136	3453	9149
137	3474	9113
138	3495	9079
139	3517	9044
140	3540	9013
141	3562	8980
142	3582	8944
143	3604	8910
144	3624	8873
145	3645	8838
146	3667	8805
147	3688	8772
148	3712	8744
149	3733	8711
150	3754	8676
151	3775	8644
152	3795	8608
153	3816	8575
154	3841	8550
155	3863	8518
156	3884	8487
157	3905	8454
158	3927	8423
159	3958	8411
160	3979	8378
161	4001	8348
162	4022	8316
163	4045	8287
164	4066	8256
165	4087	8224
166	4108	8192
167	4129	8160
168	4150	8128
169	4171	8097
170	4192	8065
171	4215	8038
172	4244	8022
173	4268	7996
174	4289	7965
175	4310	7935
176	4331	7905
177	4353	7874
178	4374	7844
179	4396	7815
180	4419	7789
181	4440	7759
182	4462	7729
183	4483	7700
184	4505	7671
185	4525	7640
186	4549	7615
187	4570	7585
188	4591	7554
189	4612	7526
190	4634	7497
191	4656	7469
192	4677	7439
193	4697	7410
194	4719	7381
195	4742	7355
196	4763	7327
197	4784	7297
198	4805	7269
199	4826	7239
200	4847	7210
201	4868	7181
202	4888	7152
203	4909	7123
204	4929	7094
205	4964	7085
206	5043	7138
207	5066	7112
208	5087	7083
209	5108	7054
210	5130	7026
211	5152	6999
212	5173	6971
213	5196	6945
214	5217	6916
215	5244	6895
216	5266	6867
217	5287	6839
218	5308	6811
219	5329	6782
220	5350	6754
221	5371	6726
222	5392	6698
223	5413	6669
224	5435	6642
225	5457	6616
226	5480	6590
227	5502	6564
228	5523	6536
229	5544	6509
230	5568	6484
231	5589	6457
232	5610	6428
233	5631	6401
234	5652	6374
235	5672	6345
236	5693	6317
237	5714	6290
238	5735	6263
239	5757	6236
240	5779	6210
241	5800	6184
242	5822	6157
243	5843	6130
244	5864	6104
245	5886	6078
246	5908	6051
247	5929	6024
248	5960	6008
249	5982	5982
250	6003	5955
251	6024	5929
252	6048	5905
253	6071	5880
254	6091	5852
255	6113	5827
256	6135	5801
257	6156	5775
258	6178	5749
259	6202	5725
260	6227	5702
261	6248	5676
262	6270	5650
263	6291	5623
264	6312	5598
265	6332	5570
266	6354	5545
267	6375	5519
268	6396	5493
269	6418	5467
270	6440	5442
271	6460	5415
272	6482	5390
273	6502	5363
274	6523	5337
275	6543	5310
276	6565	5285
277	6586	5260
278	6607	5234
279	6628	5208
280	6649	5182
281	6670	5156
282	6690	5130
283	6711	5104
284	6733	5079
285	6753	5053
286	6774	5027
287	6796	5002
288	6817	4977
289	6839	4952
290	6861	4927
291	6881	4901
292	6902	4876
293	6924	4851
294	6952	4831
295	6974	4806
296	6995	4781
297	7077	4797
298	7100	4773
299	7122	4748
300	7143	4722
301	7169	4700
302	7192	4676
303	7215	4651
304	7238	4627
305	7259	4602
306	7280	4576
307	7301	4551
308	7322	4526
309	7343	4500
310	7364	4475
311	7384	4449
312	7406	4424
313	7426	4399
314	7447	4373
315	7469	4349
316	7490	4324
317	7513	4300
318	7547	4282
319	7585	4267
320	7617	4247
321	7665	4237
322	7690	4214
323	7725	4196
324	7761	4179
325	7789	4157
326	7809	4131
327	7830	4106
328	7850	4080
329	7871	4054
330	7893	4030
331	7914	4004
332	7940	3981
333	7965	3958
334	7988	3934
335	8024	3916
336	8045	3891
337	8066	3865
338	8086	3840
339	8105	3814
340	8127	3789
341	8148	3764
342	8174	3741
343	8216	3726
344	8257	3710
345	8279	3685
346	8301	3660
347	8322	3635
348	8343	3609
349	8364	3584
350	8386	3560
351	8406	3534
352	8428	3509
353	8450	3485
354	8470	3459
355	8491	3434
356	8511	3409
357	8533	3384
358	8554	3359
359	8576	3335
360	8597	3310
361	8618	3285
362	8644	3262
363	8666	3238
364	8690	3214
365	8711	3189
366	8732	3164
367	8752	3139
368	8774	3115
369	8795	3090
370	8816	3065
371	8836	3040
372	8857	3015
373	8878	2991
374	8899	2966
375	8921	2942
376	8941	2917
377	8970	2895
378	8992	2871
379	9013	2846
380	9034	2821
381	9055	2797
382	9081	2774
383	9125	2756
384	9164	2737
385	9204	2718
386	9228	2694
387	9249	2669
388	9270	2645
389	9291	2620
390	9312	2595
391	9332	2571
392	9353	2546
393	9373	2521
394	9394	2497
395	9414	2472
396	9435	2447
397	9455	2423
398	9476	2398
399	9498	2374
400	9518	2350
401	9540	2325
402	9562	2301
403	9584	2277
404	9606	2253
405	9626	2228
406	9653	2205
407	9675	2181
408	9695	2157
409	9717	2133
410	9738	2108
411	9759	2084
412	9780	2060
413	9801	2035
414	9822	2011
415	9843	1987
416	9863	1963
417	9885	1939
418	9905	1914
419	9925	1890
420	9948	1866
421	9975	1843
422	9996	1819
423	10017	1795
424	10039	1771
425	10059	1747
426	10080	1723
427	10102	1699
428	10123	1675
429	10145	1651
430	10168	1627
431	10189	1603
432	10213	1580
433	10234	1556
434	10255	1532
435	10277	1508
436	10298	1484
437	10319	1460
438	10341	1437
439	10362	1413
440	10383	1389
441	10404	1365
442	10424	1341
443	10445	1317
444	10466	1293
445	10488	1269
446	10509	1246
447	10530	1222
448	10551	1198
449	10571	1174
450	10592	1150
451	10613	1127
452	10634	1103
453	10658	1079
454	10679	1056
455	10700	1032
456	10722	1008
457	10744	985
458	10764	961
459	10784	937
460	10805	914
461	10827	890
462	10847	866
463	10868	843
464	10889	819
465	10911	796
466	10931	772
467	10955	749
468	10981	725
469	11003	702
470	11025	678
471	11047	655
472	11069	631
473	11091	608
474	11112	584
475	11136	561
476	11160	538
477	11182	514
478	11261	493
479	11326	471
480	11357	448
481	11394	425
482	11426	402
483	11458	378
484	11492	355
485	11519	331
486	11541	308
487	11561	284
488	11582	260
489	11603	236
490	11624	213
491	11645	189
492	11665	165
493	11685	141
494	11706	118
495	11727	94
496	11748	70
497	11769	47
498	11790	23
499	11812	0
