event,ufc_num,fighter_1,fighter_2,odds_1,odds_2,fair_1,fair_2,model_p1,model_p2,p_xgb,p_lgb,p_cat,model_pick,unanimous,confidence,tier,actual_winner,correct,swapped,unan_label,pick,model_prob,market_fair,american_odds,decimal_odds,edge,won,qualifies,odds_bucket
UFC 319,319.0,Dricus Du Plessis,Khamzat Chimaev,204,-254,0.3143425445762591,0.6856574554237408,0.2751,0.7249,0.31769999861717224,0.3018,0.2059,Khamzat Chimaev,True,0.7249,HIGH,Khamzat Chimaev,True,False,Unanimous,Khamzat Chimaev,0.7249,0.6856574554237408,-254,1.3937,0.0392,True,True,Heavy Fav (-251 or more)
UFC 319,319.0,Aaron Pico,Lerone Murphy,-157,128,0.5820866397814493,0.4179133602185507,0.0342,0.9658,0.018400000408291817,0.0224,0.0618,Lerone Murphy,True,0.9658,VERY_HIGH,Lerone Murphy,True,True,Unanimous,Lerone Murphy,0.9658,0.4179133602185507,128,2.28,0.5479,True,True,Underdog (+100 or more)
UFC 319,319.0,Carlos Prates,Geoff Neal,-200,160,0.6341463414634145,0.3658536585365853,0.7555,0.2445,0.8575000166893005,0.7606,0.6482,Carlos Prates,True,0.7555,HIGH,Carlos Prates,True,True,Unanimous,Carlos Prates,0.7555,0.6341463414634145,-200,1.5,0.1214,True,True,Moderate Fav (-151 to -250)
UFC 319,319.0,Jared Cannonier,Michael Page,174,-215,0.3484127861962172,0.6515872138037828,0.1169,0.8831,0.10899999737739563,0.0748,0.1669,Michael Page,True,0.8831,VERY_HIGH,Michael Page,True,False,Unanimous,Michael Page,0.8831,0.6515872138037828,-215,1.4651,0.2315,True,True,Moderate Fav (-151 to -250)
UFC 319,319.0,Kai Asakura,Tim Elliott,-327,254,0.7305279632457812,0.2694720367542187,0.3018,0.6982,0.30480000376701355,0.2327,0.3679,Tim Elliott,True,0.6982,HIGH,Tim Elliott,True,True,Unanimous,Tim Elliott,0.6982,0.2694720367542187,254,3.54,0.4287,True,True,Underdog (+100 or more)
UFC 319,319.0,Baysangur Susurkaev,Eric Nolan,-1017,639,0.870607219352619,0.1293927806473809,0.9809,0.0191,0.9878000020980835,0.9889,0.9661,Baysangur Susurkaev,True,0.9809,VERY_HIGH,Baysangur Susurkaev,True,False,Unanimous,Baysangur Susurkaev,0.9809,0.870607219352619,-1017,1.0983,0.1103,True,True,Heavy Fav (-251 or more)
UFC 319,319.0,Gerald Meerschaert,Michal Oleksiejczuk,175,-218,0.3465940054495913,0.6534059945504087,0.2393,0.7607,0.20999999344348907,0.2466,0.2614,Michal Oleksiejczuk,True,0.7607,HIGH,Michal Oleksiejczuk,True,False,Unanimous,Michal Oleksiejczuk,0.7607,0.6534059945504087,-218,1.4587,0.1073,True,True,Moderate Fav (-151 to -250)
UFC 319,319.0,Jessica Andrade,Loopy Godinez,115,-140,0.44362292051756,0.5563770794824399,0.3509,0.6491,0.3885999917984009,0.2993,0.3648,Loopy Godinez,True,0.6491,MEDIUM,Loopy Godinez,True,False,Unanimous,Loopy Godinez,0.6491,0.5563770794824399,-140,1.7143,0.0927,True,True,Slight Fav (-100 to -150)
UFC 319,319.0,Alexander Hernandez,Chase Hooper,286,-373,0.247284057758864,0.7527159422411359,0.4337,0.5663,0.3781999945640564,0.3531,0.5697,Chase Hooper,False,0.5663,NO_CONF,Alexander Hernandez,False,True,Split,Chase Hooper,0.5663,0.7527159422411359,-373,1.2681,-0.1864,False,False,Heavy Fav (-251 or more)
UFC 320,320.0,Nikolay Veretennikov,Punahele Soriano,293,-380,0.2432350258437215,0.7567649741562785,0.2625,0.7375,0.2353000044822693,0.265,0.2871,Punahele Soriano,True,0.7375,HIGH,Punahele Soriano,True,True,Unanimous,Punahele Soriano,0.7375,0.7567649741562785,-380,1.2632,-0.0193,True,False,Heavy Fav (-251 or more)
UFC 320,320.0,Macy Chiasson,Yana Santos,-206,166,0.6416693990350837,0.3583306009649164,0.4209,0.5791,0.329800009727478,0.411,0.522,Yana Santos,False,0.5791,NO_CONF,Yana Santos,True,False,Split,Yana Santos,0.5791,0.3583306009649164,166,2.66,0.2208,True,False,Underdog (+100 or more)
UFC 320,320.0,Chris Gutierrez,Farid Basharat,406,-557,0.1890418999718019,0.810958100028198,0.0963,0.9037,0.06870000064373016,0.0205,0.1997,Farid Basharat,True,0.9037,VERY_HIGH,Farid Basharat,True,False,Unanimous,Farid Basharat,0.9037,0.810958100028198,-557,1.1795,0.0927,True,True,Heavy Fav (-251 or more)
UFC 320,320.0,Austin Vanderford,Ramiz Brahimaj,-363,272,0.744672872457758,0.255327127542242,0.7394,0.2606,0.7408999800682068,0.8188,0.6584,Austin Vanderford,True,0.7394,HIGH,Ramiz Brahimaj,False,True,Unanimous,Austin Vanderford,0.7394,0.744672872457758,-363,1.2755,-0.0053,False,False,Heavy Fav (-251 or more)
UFC 320,320.0,Brogan Walker,Veronica Hardy,548,-798,0.1479640931679474,0.8520359068320525,0.0617,0.9383,0.045499999076128006,0.0282,0.1113,Veronica Hardy,True,0.9383,VERY_HIGH,Veronica Hardy,True,True,Unanimous,Veronica Hardy,0.9383,0.8520359068320525,-798,1.1253,0.0863,True,True,Heavy Fav (-251 or more)
UFC 321,321.0,Mackenzie Dern,Virna Jandiroba,-144,117,0.5615296147211041,0.4384703852788959,0.1927,0.8073,0.1906999945640564,0.1882,0.1991,Virna Jandiroba,True,0.8073,VERY_HIGH,Mackenzie Dern,False,True,Unanimous,Virna Jandiroba,0.8073,0.4384703852788959,117,2.17,0.3688,False,True,Underdog (+100 or more)
UFC 321,321.0,Mario Bautista,Umar Nurmagomedov,454,-632,0.1729155642905737,0.8270844357094262,0.0508,0.9492,0.041600000113248825,0.0363,0.0746,Umar Nurmagomedov,True,0.9492,VERY_HIGH,Umar Nurmagomedov,True,True,Unanimous,Umar Nurmagomedov,0.9492,0.8270844357094262,-632,1.1582,0.1221,True,True,Heavy Fav (-251 or more)
UFC 321,321.0,Alexander Volkov,Jailton Almeida,156,-192,0.3726771492750664,0.6273228507249337,0.7377,0.2623,0.6959999799728394,0.7783,0.739,Alexander Volkov,True,0.7377,HIGH,Alexander Volkov,True,False,Unanimous,Alexander Volkov,0.7377,0.3726771492750664,156,2.56,0.365,True,True,Underdog (+100 or more)
UFC 321,321.0,Aleksandar Rakic,Azamat Murzakanov,-120,33,0.4204425711275026,0.5795574288724974,0.1298,0.8702,0.061900001019239426,0.1029,0.2247,Azamat Murzakanov,True,0.8702,VERY_HIGH,Azamat Murzakanov,True,False,Unanimous,Azamat Murzakanov,0.8702,0.5795574288724974,33,1.33,0.2906,True,True,Underdog (+100 or more)
UFC 321,321.0,Nasrat Haqparast,Quillan Salkilld,69,-125,0.5157593123209169,0.484240687679083,0.2175,0.7825,0.23980000615119934,0.1865,0.2261,Quillan Salkilld,True,0.7825,HIGH,Quillan Salkilld,True,False,Unanimous,Quillan Salkilld,0.7825,0.484240687679083,-125,1.8,0.2983,True,True,Slight Fav (-100 to -150)
UFC 321,321.0,Ikram Aliskerov,Junyong Park,-219,172,0.6512441509598985,0.3487558490401014,0.9197,0.0803,0.9132000207901001,0.9588,0.8872,Ikram Aliskerov,True,0.9197,VERY_HIGH,Ikram Aliskerov,True,False,Unanimous,Ikram Aliskerov,0.9197,0.6512441509598985,-219,1.4566,0.2685,True,True,Moderate Fav (-151 to -250)
UFC 321,321.0,Ludovit Klein,Mateusz Rebecki,-146,120,0.5662905500705219,0.4337094499294781,0.4672,0.5328,0.3100000023841858,0.496,0.5956,Mateusz Rebecki,False,0.5328,NO_CONF,Ludovit Klein,False,False,Split,Mateusz Rebecki,0.5328,0.4337094499294781,120,2.2,0.0991,False,False,Underdog (+100 or more)
UFC 321,321.0,Louie Sutherland,Valter Walker,300,-392,0.2388349514563106,0.7611650485436893,0.0391,0.9609,0.02710000053048134,0.0589,0.0315,Valter Walker,True,0.9609,VERY_HIGH,Valter Walker,True,True,Unanimous,Valter Walker,0.9609,0.7611650485436893,-392,1.2551,0.1997,True,True,Heavy Fav (-251 or more)
UFC 321,321.0,Jose Delgado,Nathaniel Wood,-157,128,0.5820866397814493,0.4179133602185507,0.4165,0.5835,0.477400004863739,0.3418,0.4304,Nathaniel Wood,True,0.5835,MEDIUM,Nathaniel Wood,True,True,Unanimous,Nathaniel Wood,0.5835,0.4179133602185507,128,2.28,0.1656,True,True,Underdog (+100 or more)
UFC 321,321.0,Chris Barnett,Hamdy Abdelwahab,344,-457,0.2153839015034337,0.7846160984965663,0.0597,0.9403,0.05950000137090683,0.0457,0.0738,Hamdy Abdelwahab,True,0.9403,VERY_HIGH,Hamdy Abdelwahab,True,True,Unanimous,Hamdy Abdelwahab,0.9403,0.7846160984965663,-457,1.2188,0.1557,True,True,Heavy Fav (-251 or more)
UFC 321,321.0,Azat Maksum,Mitch Raposo,-511,367,0.796154628891328,0.2038453711086719,0.7265,0.2735,0.6639000177383423,0.7647,0.7508,Azat Maksum,True,0.7265,HIGH,Mitch Raposo,False,False,Unanimous,Azat Maksum,0.7265,0.796154628891328,-511,1.1957,-0.0697,False,False,Heavy Fav (-251 or more)
UFC 321,321.0,Jaqueline Amorim,Mizuki Inoue,-461,340,0.7833474936278675,0.2166525063721325,0.7677,0.2323,0.8137999773025513,0.778,0.7114,Jaqueline Amorim,True,0.7677,HIGH,Mizuki Inoue,False,False,Unanimous,Jaqueline Amorim,0.7677,0.7833474936278675,-461,1.2169,-0.0156,False,False,Heavy Fav (-251 or more)
UFC 322,322.0,Islam Makhachev,Jack Della Maddalena,-317,247,0.725113547221801,0.2748864527781989,0.7024,0.2976,0.704200029373169,0.7194,0.6837,Islam Makhachev,True,0.7024,HIGH,Islam Makhachev,True,True,Unanimous,Islam Makhachev,0.7024,0.725113547221801,-317,1.3155,-0.0227,True,False,Heavy Fav (-251 or more)
UFC 322,322.0,Valentina Shevchenko,Zhang Weili,-144,118,0.562661313449957,0.437338686550043,0.3431,0.6569,0.3001999855041504,0.3044,0.4246,Zhang Weili,True,0.6569,HIGH,Valentina Shevchenko,False,False,Unanimous,Zhang Weili,0.6569,0.437338686550043,118,2.18,0.2196,False,True,Underdog (+100 or more)
UFC 322,322.0,Michael Morales,Sean Brady,121,-148,0.4312443486123669,0.568755651387633,0.7917,0.2083,0.8169999718666077,0.7449,0.8134,Michael Morales,True,0.7917,HIGH,Michael Morales,True,True,Unanimous,Michael Morales,0.7917,0.4312443486123669,121,2.21,0.3605,True,True,Underdog (+100 or more)
UFC 322,322.0,Carlos Prates,Leon Edwards,-167,136,0.5961398838334947,0.4038601161665053,0.6682,0.3318,0.715399980545044,0.7419,0.5472,Carlos Prates,True,0.6682,HIGH,Carlos Prates,True,True,Unanimous,Carlos Prates,0.6682,0.5961398838334947,-167,1.5988,0.0721,True,True,Moderate Fav (-151 to -250)
