event,ufc_num,fighter_1,fighter_2,odds_1,odds_2,fair_1,fair_2,model_p1,model_p2,p_xgb,p_lgb,p_cat,model_pick,unanimous,confidence,tier,actual_winner,correct,swapped,unan_label,pick,model_prob,market_fair,american_odds,decimal_odds,edge,won,qualifies,odds_bucket,fk_stake,fk_pnl,ep_stake,ep_pnl
UFC 319,319.0,Dricus Du Plessis,Khamzat Chimaev,204,-254,0.3143425445762591,0.6856574554237408,0.2751,0.7249,0.31769999861717224,0.3018,0.2059,Khamzat Chimaev,True,0.7249,HIGH,Khamzat Chimaev,True,False,Unanimous,Khamzat Chimaev,0.7249,0.6856574554237408,-254,1.3937,0.0392,True,True,Heavy Fav (-251 or more),9.95681991363983,3.9200000000000004,0.784,0.30866079999999996
UFC 319,319.0,Aaron Pico,Lerone Murphy,-157,128,0.5820866397814493,0.4179133602185507,0.0342,0.9658,0.018400000408291817,0.0224,0.0618,Lerone Murphy,True,0.9658,VERY_HIGH,Lerone Murphy,True,True,Unanimous,Lerone Murphy,0.9658,0.4179133602185507,128,2.28,0.5479,True,True,Underdog (+100 or more),20.0,25.599999999999994,8.0,10.239999999999998
UFC 319,319.0,Carlos Prates,Geoff Neal,-200,160,0.6341463414634145,0.3658536585365853,0.7555,0.2445,0.8575000166893005,0.7606,0.6482,Carlos Prates,True,0.7555,HIGH,Carlos Prates,True,True,Unanimous,Carlos Prates,0.7555,0.6341463414634145,-200,1.5,0.1214,True,True,Moderate Fav (-151 to -250),20.0,10.0,2.428,1.214
UFC 319,319.0,Jared Cannonier,Michael Page,174,-215,0.3484127861962172,0.6515872138037828,0.1169,0.8831,0.10899999737739563,0.0748,0.1669,Michael Page,True,0.8831,VERY_HIGH,Michael Page,True,False,Unanimous,Michael Page,0.8831,0.6515872138037828,-215,1.4651,0.2315,True,True,Moderate Fav (-151 to -250),20.0,9.302000000000001,4.63,2.1534130000000005
UFC 319,319.0,Kai Asakura,Tim Elliott,-327,254,0.7305279632457812,0.2694720367542187,0.3018,0.6982,0.30480000376701355,0.2327,0.3679,Tim Elliott,True,0.6982,HIGH,Tim Elliott,True,True,Unanimous,Tim Elliott,0.6982,0.2694720367542187,254,3.54,0.4287,True,True,Underdog (+100 or more),16.87795275590551,42.87,8.0,20.32
UFC 319,319.0,Baysangur Susurkaev,Eric Nolan,-1017,639,0.870607219352619,0.1293927806473809,0.9809,0.0191,0.9878000020980835,0.9889,0.9661,Baysangur Susurkaev,True,0.9809,VERY_HIGH,Baysangur Susurkaev,True,False,Unanimous,Baysangur Susurkaev,0.9809,0.870607219352619,-1017,1.0983,0.1103,True,True,Heavy Fav (-251 or more),20.0,1.966000000000001,2.206,0.21684980000000012
UFC 319,319.0,Gerald Meerschaert,Michal Oleksiejczuk,175,-218,0.3465940054495913,0.6534059945504087,0.2393,0.7607,0.20999999344348907,0.2466,0.2614,Michal Oleksiejczuk,True,0.7607,HIGH,Michal Oleksiejczuk,True,False,Unanimous,Michal Oleksiejczuk,0.7607,0.6534059945504087,-218,1.4587,0.1073,True,True,Moderate Fav (-151 to -250),20.0,9.174000000000003,2.146,0.9843702000000002
UFC 319,319.0,Jessica Andrade,Loopy Godinez,115,-140,0.44362292051756,0.5563770794824399,0.3509,0.6491,0.3885999917984009,0.2993,0.3648,Loopy Godinez,True,0.6491,MEDIUM,Loopy Godinez,True,False,Unanimous,Loopy Godinez,0.6491,0.5563770794824399,-140,1.7143,0.0927,True,True,Slight Fav (-100 to -150),12.977740445191099,9.270000000000001,1.854,1.3243122
UFC 320,320.0,Chris Gutierrez,Farid Basharat,406,-557,0.1890418999718019,0.810958100028198,0.0963,0.9037,0.06870000064373016,0.0205,0.1997,Farid Basharat,True,0.9037,VERY_HIGH,Farid Basharat,True,False,Unanimous,Farid Basharat,0.9037,0.810958100028198,-557,1.1795,0.0927,True,True,Heavy Fav (-251 or more),20.0,3.59,1.854,0.332793
UFC 320,320.0,Brogan Walker,Veronica Hardy,548,-798,0.1479640931679474,0.8520359068320525,0.0617,0.9383,0.045499999076128006,0.0282,0.1113,Veronica Hardy,True,0.9383,VERY_HIGH,Veronica Hardy,True,True,Unanimous,Veronica Hardy,0.9383,0.8520359068320525,-798,1.1253,0.0863,True,True,Heavy Fav (-251 or more),20.0,2.5059999999999993,1.7260000000000002,0.21626779999999995
