event_name,event_url,event_date,location,event_date_parsed
UFC 327: Prochazka vs. Ulberg,http://www.ufcstats.com/event-details/f3eb664db7fb1df3,2026-04-11,"Miami, Florida, USA",2026-04-11
UFC Fight Night: Moicano vs. Duncan,http://www.ufcstats.com/event-details/9a70f67ad2187fa3,2026-04-04,"Las Vegas, Nevada, USA",2026-04-04
UFC Fight Night: Adesanya vs. Pyfer,http://www.ufcstats.com/event-details/5c38639f860a5542,2026-03-28,"Seattle, Washington, USA",2026-03-28
UFC Fight Night: Evloev vs. Murphy,http://www.ufcstats.com/event-details/69108cb8b32efe04,2026-03-21,"London, England, United Kingdom",2026-03-21
UFC Fight Night: Emmett vs. Vallejos,http://www.ufcstats.com/event-details/babc6b5745335f18,2026-03-14,"Las Vegas, Nevada, USA",2026-03-14
UFC 326: Holloway vs. Oliveira 2,http://www.ufcstats.com/event-details/15ec018d144710db,2026-03-07,"Las Vegas, Nevada, USA",2026-03-07
UFC Fight Night: Moreno vs. Kavanagh,http://www.ufcstats.com/event-details/0cfbbfa0ba6d9855,2026-02-28,"Mexico City, Distrito Federal, Mexico",2026-02-28
UFC Fight Night: Strickland vs. Hernandez,http://www.ufcstats.com/event-details/79ab17db3b40831a,2026-02-21,"Houston, Texas, USA",2026-02-21
UFC Fight Night: Bautista vs. Oliveira,http://www.ufcstats.com/event-details/c337c3c85b1871e0,2026-02-07,"Las Vegas, Nevada, USA",2026-02-07
UFC 325: Volkanovski vs. Lopes 2,http://www.ufcstats.com/event-details/30ad2050273d016a,2026-01-31,"Sydney, New South Wales, Australia",2026-01-31
UFC 324: Gaethje vs. Pimblett,http://www.ufcstats.com/event-details/00e11b5c8b7bfeeb,2026-01-24,"Las Vegas, Nevada, USA",2026-01-24
UFC Fight Night: Royval vs. Kape,http://www.ufcstats.com/event-details/bc0f994de0521926,2025-12-13,"Las Vegas, Nevada, USA",2025-12-13
UFC 323: Dvalishvili vs. Yan 2,http://www.ufcstats.com/event-details/bd92cf5da5413d2a,2025-12-06,"Las Vegas, Nevada, USA",2025-12-06
UFC Fight Night: Tsarukyan vs. Hooker,http://www.ufcstats.com/event-details/92c96df8bdab5fea,2025-11-22,"Doha, Qatar",2025-11-22
UFC 322: Della Maddalena vs. Makhachev,http://www.ufcstats.com/event-details/8db1b36dde268ef6,2025-11-15,"New York City, New York, USA",2025-11-15
UFC Fight Night: Bonfim vs. Brown,http://www.ufcstats.com/event-details/6436029b50a9c255,2025-11-08,"Las Vegas, Nevada, USA",2025-11-08
UFC Fight Night: Garcia vs. Onama,http://www.ufcstats.com/event-details/0e2c2daf11b5d8f2,2025-11-01,"Las Vegas, Nevada, USA",2025-11-01
UFC 321: Aspinall vs. Gane,http://www.ufcstats.com/event-details/7956f026e2672c47,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2025-10-25
UFC Fight Night: De Ridder vs. Allen,http://www.ufcstats.com/event-details/38e5d9dcb0fddc42,2025-10-18,"Vancouver, British Columbia, Canada",2025-10-18
UFC Fight Night: Oliveira vs. Gamrot,http://www.ufcstats.com/event-details/9336e86cfd4ceaa1,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",2025-10-11
UFC 320: Ankalaev vs. Pereira 2,http://www.ufcstats.com/event-details/8944a0f9b2f0ce6d,2025-10-04,"Las Vegas, Nevada, USA",2025-10-04
UFC Fight Night: Ulberg vs. Reyes,http://www.ufcstats.com/event-details/ed220e87bef0cc64,2025-09-27,"Perth, Western Australia, Australia",2025-09-27
UFC Fight Night: Lopes vs. Silva,http://www.ufcstats.com/event-details/5efaaf313b652dd7,2025-09-13,"San Antonio, Texas, USA",2025-09-13
UFC Fight Night: Imavov vs. Borralho,http://www.ufcstats.com/event-details/6e380a4d73ab4f0e,2025-09-06,"Paris, Ile-de-France, France",2025-09-06
UFC Fight Night: Walker vs. Zhang,http://www.ufcstats.com/event-details/754968e325d6f60d,2025-08-23,"Shanghai, Hebei, China",2025-08-23
UFC - Road to UFC 4.6,http://www.ufcstats.com/event-details/8fbcd82bf7f352bf,2025-08-22,"Shanghai, Hebei, China",2025-08-22
UFC 319: Du Plessis vs. Chimaev,http://www.ufcstats.com/event-details/421ccfc6ddb17958,2025-08-16,"Chicago, Illinois, USA",2025-08-16
UFC Fight Night: Dolidze vs. Hernandez,http://www.ufcstats.com/event-details/6cd3dfc54f01287f,2025-08-09,"Las Vegas, Nevada, USA",2025-08-09
UFC Fight Night: Taira vs. Park,http://www.ufcstats.com/event-details/f2c934689243fe4e,2025-08-02,"Las Vegas, Nevada, USA",2025-08-02
UFC Fight Night: Whittaker vs. De Ridder,http://www.ufcstats.com/event-details/28d8638ea0a71908,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2025-07-26
UFC 318: Holloway vs. Poirier 3,http://www.ufcstats.com/event-details/b8e2f10efb6eca85,2025-07-19,"New Orleans, Louisiana, USA",2025-07-19
UFC Fight Night: Lewis vs. Teixeira,http://www.ufcstats.com/event-details/7b03d9df5910917d,2025-07-12,"Nashville, Tennessee, USA",2025-07-12
UFC 317: Topuria vs. Oliveira,http://www.ufcstats.com/event-details/66766984842c13dc,2025-06-28,"Las Vegas, Nevada, USA",2025-06-28
UFC Fight Night: Hill vs. Rountree Jr.,http://www.ufcstats.com/event-details/400c7b43c86d27d3,2025-06-21,"Baku, Azerbaijan",2025-06-21
UFC Fight Night: Usman vs. Buckley,http://www.ufcstats.com/event-details/de277a4abcfeea46,2025-06-14,"Atlanta, Georgia, USA",2025-06-14
UFC 316: Dvalishvili vs. O'Malley 2,http://www.ufcstats.com/event-details/18c49685296c60e6,2025-06-07,"Newark, New Jersey, USA",2025-06-07
UFC Fight Night: Blanchfield vs. Barber,http://www.ufcstats.com/event-details/2a898bf9fb7710b3,2025-05-31,"Las Vegas, Nevada, USA",2025-05-31
UFC Fight Night: Burns vs. Morales,http://www.ufcstats.com/event-details/8ad022dd81224f61,2025-05-17,"Las Vegas, Nevada, USA",2025-05-17
UFC 315: Muhammad vs. Della Maddalena,http://www.ufcstats.com/event-details/118463dd8db16e7f,2025-05-10,"Montreal, Quebec, Canada",2025-05-10
UFC Fight Night: Sandhagen vs. Figueiredo,http://www.ufcstats.com/event-details/de20ffb3fc2e7629,2025-05-03,"Des Moines, Iowa, USA",2025-05-03
UFC Fight Night: Machado Garry vs. Prates,http://www.ufcstats.com/event-details/b2e3aca4cd363477,2025-04-26,"Kansas City, Missouri, USA",2025-04-26
UFC 314: Volkanovski vs. Lopes,http://www.ufcstats.com/event-details/22f4b6cb6b1bd7fd,2025-04-12,"Miami, Florida, USA",2025-04-12
UFC Fight Night: Emmett vs. Murphy,http://www.ufcstats.com/event-details/86b30a86664cb6e4,2025-04-05,"Las Vegas, Nevada, USA",2025-04-05
UFC Fight Night: Moreno vs. Erceg,http://www.ufcstats.com/event-details/0f7210aa8d61af8d,2025-03-29,"Mexico City, Distrito Federal, Mexico",2025-03-29
