fighter_url,first_name,last_name,nickname,stance,wins,losses,draws,slpm,sapm,td_avg,sub_avg,full_name,height_inches,reach_inches,weight_lbs,total_fights,win_pct,str_acc_career,str_def_career,td_acc_career,td_def_career,dob_parsed
http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9,Tom,Aaron,,,5,3,0,0.0,0.0,0.0,0.0,Tom Aaron,,,155.0,8,0.625,,,,,1978-07-13
http://www.ufcstats.com/fighter-details/15df64c02b6b0fde,Danny,Abbadi,The Assassin,Orthodox,4,6,0,3.29,4.41,0.0,0.0,Danny Abbadi,71.0,,155.0,10,0.4,0.38,0.57,,0.77,1983-07-03
http://www.ufcstats.com/fighter-details/59a9d6dac61c2540,Nariman,Abbasov,Bayraktar,Orthodox,28,4,0,3.0,5.67,0.0,0.0,Nariman Abbasov,68.0,66.0,155.0,32,0.875,0.2,0.46,,0.66,1994-02-01
http://www.ufcstats.com/fighter-details/4961467134abd8be,Darion,Abbey,,Orthodox,9,5,0,8.44,14.06,0.0,0.0,Darion Abbey,74.0,80.0,265.0,14,0.6428571428571429,0.5,0.28,,,1993-02-25
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,Tank,Switch,10,15,0,1.35,3.55,1.07,0.0,David Abbott,72.0,,265.0,25,0.4,0.3,0.38,0.33,0.66,1965-04-26
http://www.ufcstats.com/fighter-details/3329d692aea4dc28,Hamdy,Abdelwahab,The Hammer,Southpaw,7,1,0,4.27,3.67,3.25,0.0,Hamdy Abdelwahab,74.0,72.0,265.0,8,0.875,0.55,0.51,0.65,1.0,1993-01-22
http://www.ufcstats.com/fighter-details/8f3837b4c06f3d1e,Farida,Abdueva,,,6,1,0,0.0,0.0,0.0,0.0,Farida Abdueva,,,115.0,7,0.8571428571428571,,,,,2004-05-15
http://www.ufcstats.com/fighter-details/841695e02c99a521,Mansur,Abdul-Malik,,Orthodox,9,1,1,3.28,4.49,1.65,0.3,Mansur Abdul-Malik,74.0,80.0,185.0,11,0.8181818181818182,0.44,0.46,0.41,0.83,1997-10-07
http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil,Abdurakhimov,Abrek,Orthodox,20,8,0,2.41,3.02,1.01,0.1,Shamil Abdurakhimov,75.0,76.0,235.0,28,0.7142857142857143,0.44,0.55,0.23,0.45,1981-09-02
http://www.ufcstats.com/fighter-details/c0ed7b208197e8de,Hiroyuki,Abe,Abe Ani,Orthodox,8,15,3,1.71,3.11,0.0,0.0,Hiroyuki Abe,66.0,,145.0,26,0.3076923076923077,0.36,0.63,,0.33,1970-02-09
http://www.ufcstats.com/fighter-details/5140122c3eecd307,Daichi,Abe,,Orthodox,6,2,0,3.8,4.49,0.33,0.0,Daichi Abe,71.0,71.0,170.0,8,0.75,0.33,0.56,0.5,,1991-11-27
