event_name,event_date,fight_url,fighter_1,fighter_2,winner,f1_kd,f2_kd,f1_str,f2_str,f1_td,f2_td,f1_sub,f2_sub,weight_class,method,round,time
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/a031f062b7ffefee,Jiri Prochazka,Carlos Ulberg,Carlos Ulberg,0,1,14,27,0,0,0,0,Light Heavyweight,"KO/TKO

      

        Punch",1,3:45
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/aade9d76ac6c6aef,Azamat Murzakanov,Paulo Costa,Paulo Costa,0,1,34,55,1,0,1,0,Light Heavyweight,"KO/TKO

      

        Kick",3,1:23
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/903552edaba48f4a,Curtis Blaydes,Josh Hokit,Josh Hokit,0,0,174,177,2,0,0,0,Heavyweight,U-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/c4d060cff018979a,Dominick Reyes,Johnny Walker,Dominick Reyes,0,0,34,42,0,0,0,0,Light Heavyweight,S-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/60949f33201415ca,Cub Swanson,Nate Landwehr,Cub Swanson,2,0,37,15,0,0,0,0,Featherweight,"KO/TKO

      

        Punch",1,4:06
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/10ab34056720b6b4,Patricio Pitbull,Aaron Pico,Aaron Pico,0,0,49,100,0,6,0,0,Featherweight,U-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/b4e16fb13153efdc,Kevin Holland,Randy Brown,Kevin Holland,0,0,56,46,0,0,2,0,Welterweight,U-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/62b5ce408c150fa8,Mateusz Gamrot,Esteban Ribovics,Mateusz Gamrot,0,0,18,4,4,0,1,0,Lightweight,"SUB

      

        Arm Triangle",2,4:19
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/f506977877074aa6,Tatiana Suarez,Loopy Godinez,Tatiana Suarez,0,0,12,18,3,2,1,0,Women's Strawweight,"SUB

      

        Rear Naked Choke",2,2:29
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/81d20c833e9a76eb,Chris Padilla,MarQuel Mederos,Draw/NC,0,0,147,112,1,1,0,0,Lightweight,M-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/20868a67bea63129,Kelvin Gastelum,Vicente Luque,Vicente Luque,0,1,9,12,1,0,0,1,Middleweight,"SUB

      

        Anaconda Choke",1,4:08
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/5b49c3d36907c6df,Charles Radtke,Francisco Prado,Charles Radtke,0,0,24,29,4,0,0,2,Welterweight,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/85e94a6c071fd9fa,Israel Adesanya,Joe Pyfer,Joe Pyfer,0,0,42,36,0,2,0,0,Middleweight,"KO/TKO

      

        Punches",2,4:18
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/9a0ecee6e8ca173f,Alexa Grasso,Maycee Barber,Alexa Grasso,1,0,12,5,0,0,1,0,Women's Flyweight,"KO/TKO

      

        Punch",1,2:42
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/6102e7a6dcbc62f0,Michael Chiesa,Niko Price,Michael Chiesa,0,0,0,1,1,1,1,0,Welterweight,"SUB

      

        Rear Naked Choke",1,1:03
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/f9f5071b993a5f4b,Julian Erosa,Lerryan Douglas,Lerryan Douglas,0,2,17,29,0,0,0,0,Featherweight,"KO/TKO

      

        Punches",1,3:33
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/e32dc26b11d1f81d,Mansur Abdul-Malik,Yousri Belgaroui,Yousri Belgaroui,0,2,16,94,3,0,0,0,Middleweight,"KO/TKO

      

        Knee",3,3:39
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/a76e14495e61cf19,Terrance McKinney,Kyle Nelson,Terrance McKinney,0,0,13,1,0,0,0,0,Lightweight,"KO/TKO

      

        Punches",1,0:24
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/fa96d6252579b51e,Ignacio Bahamondes,Tofiq Musayev,Tofiq Musayev,1,0,32,34,0,3,2,0,Lightweight,U-DEC,3,5:00
