event_name,event_date,fight_url,fighter_1_winner,fighter_2_loser,winner_kd,loser_kd,winner_str,loser_str,winner_td,loser_td,winner_sub,loser_sub,weight_class,method,round,time
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/a031f062b7ffefee,Carlos Ulberg,Jiri Prochazka,1,0,27,14,0,0,0,0,Light Heavyweight,"KO/TKO

      

        Punch",1,3:45
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/aade9d76ac6c6aef,Paulo Costa,Azamat Murzakanov,1,0,55,34,0,1,0,1,Light Heavyweight,"KO/TKO

      

        Kick",3,1:23
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/903552edaba48f4a,Josh Hokit,Curtis Blaydes,0,0,177,174,0,2,0,0,Heavyweight,U-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/c4d060cff018979a,Dominick Reyes,Johnny Walker,0,0,34,42,0,0,0,0,Light Heavyweight,S-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/60949f33201415ca,Cub Swanson,Nate Landwehr,2,0,37,15,0,0,0,0,Featherweight,"KO/TKO

      

        Punch",1,4:06
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/10ab34056720b6b4,Aaron Pico,Patricio Pitbull,0,0,100,49,6,0,0,0,Featherweight,U-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/b4e16fb13153efdc,Kevin Holland,Randy Brown,0,0,56,46,0,0,2,0,Welterweight,U-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/62b5ce408c150fa8,Mateusz Gamrot,Esteban Ribovics,0,0,18,4,4,0,1,0,Lightweight,"SUB

      

        Arm Triangle",2,4:19
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/f506977877074aa6,Tatiana Suarez,Loopy Godinez,0,0,12,18,3,2,1,0,Women's Strawweight,"SUB

      

        Rear Naked Choke",2,2:29
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/81d20c833e9a76eb,Chris Padilla,MarQuel Mederos,0,0,147,112,1,1,0,0,Lightweight,M-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/20868a67bea63129,Vicente Luque,Kelvin Gastelum,1,0,12,9,0,1,1,0,Middleweight,"SUB

      

        Anaconda Choke",1,4:08
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",http://www.ufcstats.com/fight-details/5b49c3d36907c6df,Charles Radtke,Francisco Prado,0,0,24,29,4,0,0,2,Welterweight,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/85e94a6c071fd9fa,Joe Pyfer,Israel Adesanya,0,0,36,42,2,0,0,0,Middleweight,"KO/TKO

      

        Punches",2,4:18
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/9a0ecee6e8ca173f,Alexa Grasso,Maycee Barber,1,0,12,5,0,0,1,0,Women's Flyweight,"KO/TKO

      

        Punch",1,2:42
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/6102e7a6dcbc62f0,Michael Chiesa,Niko Price,0,0,0,1,1,1,1,0,Welterweight,"SUB

      

        Rear Naked Choke",1,1:03
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/f9f5071b993a5f4b,Lerryan Douglas,Julian Erosa,2,0,29,17,0,0,0,0,Featherweight,"KO/TKO

      

        Punches",1,3:33
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/e32dc26b11d1f81d,Yousri Belgaroui,Mansur Abdul-Malik,2,0,94,16,0,3,0,0,Middleweight,"KO/TKO

      

        Knee",3,3:39
