event_name,event_date,event_url,fighter_1,fighter_2,odds_1_avg,odds_2_avg,odds_1_best,odds_2_best,n_books_1,n_books_2,imp_1,imp_2,overround,fair_1,fair_2
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Dricus Du Plessis,Khamzat Chimaev,204,-254,220,-180,7,7,0.32894736842105265,0.7175141242937854,1.0464614927148381,0.3143425445762591,0.6856574554237408
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Aaron Pico,Lerone Murphy,-157,128,-145,140,6,6,0.6108949416342413,0.43859649122807015,1.0494914328623115,0.5820866397814493,0.41791336021855074
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Carlos Prates,Geoff Neal,-200,160,-185,165,6,6,0.6666666666666666,0.38461538461538464,1.0512820512820513,0.6341463414634145,0.36585365853658536
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Jared Cannonier,Michael Page,174,-215,188,-200,6,6,0.36496350364963503,0.6825396825396826,1.0475031861893176,0.34841278619621724,0.6515872138037828
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Kai Asakura,Tim Elliott,-327,254,-300,265,6,6,0.765807962529274,0.2824858757062147,1.0482938382354887,0.7305279632457812,0.26947203675421877
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Baysangur Susurkaev,Eric Nolan,-1017,639,-900,725,6,6,0.9104744852282901,0.13531799729364005,1.0457924825219302,0.870607219352619,0.1293927806473809
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Gerald Meerschaert,Michal Oleksiejczuk,175,-218,180,-210,6,6,0.36363636363636365,0.6855345911949685,1.0491709548313322,0.3465940054495913,0.6534059945504087
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Jessica Andrade,Loopy Godinez,115,-140,122,-136,6,6,0.46511627906976744,0.5833333333333334,1.0484496124031009,0.44362292051756,0.5563770794824399
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Alexander Hernandez,Chase Hooper,286,-373,310,-333,6,6,0.25906735751295334,0.7885835095137421,1.0476508670266955,0.24728405775886403,0.7527159422411359
UFC 320,October 4th,https://www.bestfightodds.com/events/ufc-320-3853,Nikolay Veretennikov,Punahele Soriano,293,-380,320,-333,6,6,0.2544529262086514,0.7916666666666666,1.046119592875318,0.2432350258437215,0.7567649741562785
UFC 320,October 4th,https://www.bestfightodds.com/events/ufc-320-3853,Macy Chiasson,Yana Santos,-206,166,-200,180,6,6,0.673202614379085,0.37593984962406013,1.049142464003145,0.6416693990350837,0.3583306009649164
UFC 320,October 4th,https://www.bestfightodds.com/events/ufc-320-3853,Chris Gutierrez,Farid Basharat,406,-557,430,-500,6,6,0.1976284584980237,0.84779299847793,1.0454214569759537,0.18904189997180196,0.810958100028198
UFC 320,October 4th,https://www.bestfightodds.com/events/ufc-320-3853,Austin Vanderford,Ramiz Brahimaj,-363,272,-275,475,6,6,0.7840172786177105,0.26881720430107525,1.0528344829187857,0.744672872457758,0.25532712754224207
UFC 320,October 4th,https://www.bestfightodds.com/events/ufc-320-3853,Brogan Walker,Veronica Hardy,548,-798,600,-649,6,6,0.15432098765432098,0.888641425389755,1.042962413044076,0.14796409316794748,0.8520359068320525
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Ciryl Gane,Tom Aspinall,307,-394,320,-350,6,6,0.2457002457002457,0.7975708502024291,1.0432710959026747,0.23550949189065498,0.7644905081093452
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Mackenzie Dern,Virna Jandiroba,-144,117,-134,122,6,6,0.5901639344262295,0.4608294930875576,1.050993427513787,0.5615296147211041,0.4384703852788959
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Mario Bautista,Umar Nurmagomedov,454,-632,500,-560,6,6,0.18050541516245489,0.8633879781420765,1.0438933933045313,0.17291556429057375,0.8270844357094262
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Alexander Volkov,Jailton Almeida,156,-192,166,-188,6,6,0.390625,0.6575342465753424,1.0481592465753424,0.3726771492750664,0.6273228507249337
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Aleksandar Rakic,Azamat Murzakanov,-120,33,-110,105,6,6,0.5454545454545454,0.7518796992481203,1.2973342447026657,0.4204425711275026,0.5795574288724974
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Nasrat Haqparast,Quillan Salkilld,69,-125,110,-110,6,6,0.591715976331361,0.5555555555555556,1.1472715318869167,0.5157593123209169,0.48424068767908307
