number,value,datetime_start,datetime_complete,duration,params_auto_class_weights,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
0,0.6020871035626466,2026-04-14 23:14:26.606299,2026-04-14 23:14:31.344311,0 days 00:00:04.738012,Balanced,0.2904180608409973,226,5,0.24810409748678125,0.2536999076681772,8,0.7799726016810132,0.8659969709057025,12.8,0.6768867924528302,0.6020871035626466,"[0.6096698113207547, 0.6639150943396226, 0.6768867924528302, 0.7063679245283019, 0.7275943396226415]","[0.655552221475381, 0.6193181979638457, 0.614301311872087, 0.561300140380496, 0.5599636461214234]",COMPLETE,cat,0.6768867924528302,0.6020871035626466,12.8
1,0.5897927288537786,2026-04-14 23:14:31.369590,2026-04-14 23:14:33.691310,0 days 00:00:02.321720,,1.5212112147976886,149,3,0.0070689749506246055,0.2708160864249968,10,0.9170225492671691,0.9162213204002109,20.4,0.6891509433962264,0.5897927288537786,"[0.6049528301886793, 0.6721698113207547, 0.6933962264150944, 0.7346698113207547, 0.7405660377358491]","[0.6544445967950432, 0.6036741650173733, 0.5999401343315358, 0.5378027195995918, 0.5531020285253492]",COMPLETE,cat,0.6891509433962264,0.5897927288537786,20.4
2,0.5965565500781939,2026-04-14 23:14:33.711586,2026-04-14 23:15:55.280731,0 days 00:01:21.569145,,0.9983689107917987,147,7,0.029204338471814112,0.01607123851203988,23,3.925879806965068,0.6460723242676091,377.2,0.6764150943396225,0.5965565500781939,"[0.5825471698113207, 0.6674528301886793, 0.6804245283018868, 0.7216981132075472, 0.7299528301886793]","[0.6665209560900026, 0.6162746945298094, 0.6069735655414242, 0.5359947783331401, 0.5570187558965926]",COMPLETE,cat,0.6764150943396225,0.5965565500781939,377.2
3,0.5769323700771108,2026-04-14 23:15:55.294302,2026-04-14 23:17:06.238386,0 days 00:01:10.944084,,1.5230688458668533,53,7,6.245139574743075,0.0178601378893971,49,4.041986740582305,0.5325257964926398,648.6,0.6997641509433963,0.5769323700771108,"[0.6238207547169812, 0.7004716981132075, 0.7004716981132075, 0.7346698113207547, 0.7393867924528302]","[0.6438588262717388, 0.5902044153277672, 0.584028299391079, 0.5311927728987088, 0.5353775364962605]",COMPLETE,cat,0.6997641509433963,0.5769323700771108,648.6
4,0.5685700563525381,2026-04-14 23:17:06.267886,2026-04-14 23:17:19.063839,0 days 00:00:12.795953,,1.5585553804470549,148,3,4.337920697490942,0.05388108577817234,13,3.31261142176991,0.5171942605576092,312.8,0.7035377358490567,0.5685700563525381,"[0.6403301886792453, 0.6922169811320755, 0.6992924528301887, 0.75, 0.7358490566037735]","[0.6265977452590311, 0.5839224765654621, 0.5796341473139537, 0.5239414489913458, 0.5287544636328975]",COMPLETE,cat,0.7035377358490567,0.5685700563525381,312.8
5,0.6012715095347476,2026-04-14 23:17:19.083808,2026-04-14 23:17:56.336481,0 days 00:00:37.252673,Balanced,0.4424625102595975,75,9,3.7958531426706403,0.13962563737015762,30,4.609371175115584,0.9697494707820946,67.6,0.6735849056603774,0.6012715095347476,"[0.6132075471698113, 0.6686320754716981, 0.6462264150943396, 0.7311320754716981, 0.7087264150943396]","[0.6476468201382163, 0.6228520719736441, 0.6262704191663874, 0.5511792843163269, 0.5584089520791637]",COMPLETE,cat,0.6735849056603774,0.6012715095347476,67.6
6,0.5880403389456554,2026-04-14 23:17:56.349425,2026-04-14 23:18:34.298240,0 days 00:00:37.948815,Balanced,0.7046211248738132,211,5,0.026730883107816707,0.02516607127550297,15,2.7134804157912424,0.9143687545759647,359.0,0.686556603773585,0.5880403389456554,"[0.6238207547169812, 0.660377358490566, 0.6804245283018868, 0.7299528301886793, 0.7382075471698113]","[0.6556803987162317, 0.6240170066618994, 0.5920559952290949, 0.5365435154950013, 0.5319047786260499]",COMPLETE,cat,0.686556603773585,0.5880403389456554,359.0
7,0.5758004567962148,2026-04-14 23:18:34.311903,2026-04-14 23:20:08.737616,0 days 00:01:34.425713,,3.8563517334297286,48,8,1.8274508859816028,0.019657448966046126,36,3.6450358402049368,0.5027610585618012,561.4,0.6959905660377359,0.5758004567962148,"[0.6367924528301887, 0.6792452830188679, 0.6922169811320755, 0.7287735849056604, 0.7429245283018868]","[0.6246323766220709, 0.6108012622669031, 0.5862520228309671, 0.5277213807352433, 0.5295952415258897]",COMPLETE,cat,0.6959905660377359,0.5758004567962148,561.4
8,0.6295161579457205,2026-04-14 23:20:08.752751,2026-04-14 23:20:37.423238,0 days 00:00:28.670487,,3.64803089169032,174,9,0.0017956984225677636,0.08330803890301997,16,1.6259166101337352,0.6654490124263246,16.0,0.644811320754717,0.6295161579457205,"[0.5577830188679245, 0.6238207547169812, 0.6438679245283019, 0.6851415094339622, 0.7134433962264151]","[0.6798974010502711, 0.6556453472798615, 0.6346854386721547, 0.6029282172762149, 0.5744243854500997]",COMPLETE,cat,0.644811320754717,0.6295161579457205,16.0
9,0.5909829288972565,2026-04-14 23:20:37.437855,2026-04-14 23:20:43.087209,0 days 00:00:05.649354,Balanced,2.6136641469099704,127,3,0.17583640270008521,0.1131225105716033,39,2.4689779818219537,0.8803925243084487,111.4,0.6875,0.5909829288972565,"[0.6120283018867925, 0.6615566037735849, 0.6827830188679245, 0.7311320754716981, 0.75]","[0.6666743229409077, 0.610283166469888, 0.6001277698391642, 0.5398303905606248, 0.5379989946756977]",COMPLETE,cat,0.6875,0.5909829288972565,111.4
