number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
0,0.5979410653482983,2026-04-14 23:06:57.067162,2026-04-14 23:07:00.066951,0 days 00:00:02.999789,0.7190609389379257,0.2536999076681772,6,7,1.2022300234864176,112,0.004207988669606638,0.004207053950287938,0.8659969709057025,10.0,0.6665094339622641,0.5979410653482983,"[0.6167452830188679, 0.6367924528301887, 0.6497641509433962, 0.6981132075471698, 0.7311320754716981]","[0.655270371819771, 0.6315240583702867, 0.6123111789022861, 0.5484200474788659, 0.5421796701702818]",COMPLETE,lgb,0.6665094339622641,0.5979410653482983,10.0
1,0.5750224902643011,2026-04-14 23:07:00.087542,2026-04-14 23:07:34.961743,0 days 00:00:34.874201,0.8827098485602951,0.010725209743171997,10,13,1.0495128632644757,49,0.0070689749506246055,0.005337032762603957,0.9849549260809971,284.8,0.6964622641509435,0.5750224902643011,"[0.6379716981132075, 0.6839622641509434, 0.6745283018867925, 0.7476415094339622, 0.7382075471698113]","[0.6374886289743081, 0.5982917611182623, 0.5985059484931786, 0.5138113572796519, 0.5270147554561048]",COMPLETE,lgb,0.6964622641509435,0.5750224902643011,284.8
2,0.5720501657022294,2026-04-14 23:07:34.986136,2026-04-14 23:07:45.383645,0 days 00:00:10.397509,0.3976457024564293,0.02692655251486473,7,25,0.39934756431671947,103,0.01474275315991467,0.029204338471814112,0.8059264473611898,162.0,0.6889150943396227,0.5720501657022294,"[0.6179245283018868, 0.6898584905660378, 0.6768867924528302, 0.7370283018867925, 0.722877358490566]","[0.6257255142726138, 0.5927672626461764, 0.5926103087967404, 0.5150532300013119, 0.5340945127943051]",COMPLETE,lgb,0.6889150943396227,0.5720501657022294,162.0
3,0.5735018290343259,2026-04-14 23:07:45.402787,2026-04-14 23:07:48.857697,0 days 00:00:03.454910,0.7252813963310067,0.07500118950416987,8,48,1.6167946962329223,124,0.004809461967501573,0.0018205657658407262,0.5232252063599989,53.2,0.6950471698113208,0.5735018290343259,"[0.6261792452830188, 0.7028301886792453, 0.6733490566037735, 0.7358490566037735, 0.7370283018867925]","[0.6367600378490211, 0.5897438997299184, 0.5922815614211574, 0.5186507544063378, 0.5300728917651947]",COMPLETE,lgb,0.6950471698113208,0.5735018290343259,53.2
4,0.572504621861446,2026-04-14 23:07:48.874757,2026-04-14 23:08:11.628299,0 days 00:00:22.753542,0.6081067456177209,0.013940346079873234,6,6,0.5175599632000338,117,0.003077180271250686,0.09565499215943825,0.8421165132560784,267.4,0.6990566037735848,0.572504621861446,"[0.6332547169811321, 0.6945754716981132, 0.6686320754716981, 0.7476415094339622, 0.7511792452830188]","[0.6239003734961358, 0.5983568890195777, 0.5930427250702438, 0.5200308591524896, 0.5271922625687826]",COMPLETE,lgb,0.6990566037735848,0.572504621861446,267.4
5,0.5700339236718935,2026-04-14 23:08:11.644926,2026-04-14 23:08:18.075632,0 days 00:00:06.430706,0.6826971955402957,0.028869220380495747,9,40,1.7896547008552977,121,0.0054880470007660455,7.556810141274429,0.7600340105889054,170.2,0.7004716981132075,0.5700339236718935,"[0.6379716981132075, 0.7099056603773585, 0.6674528301886793, 0.7488207547169812, 0.7382075471698113]","[0.6271385296107435, 0.5927601042853745, 0.5931098232073169, 0.5128280628688084, 0.5243330983872245]",COMPLETE,lgb,0.7004716981132075,0.5700339236718935,170.2
6,0.5979668812492682,2026-04-14 23:08:18.095008,2026-04-14 23:08:19.877935,0 days 00:00:01.782927,0.4371880036934016,0.22999586428143728,8,22,1.6574750183038587,45,0.0015167330688076208,0.02001342062287998,0.5442462510259598,14.6,0.6681603773584905,0.5979668812492682,"[0.6167452830188679, 0.6426886792452831, 0.6556603773584906, 0.7087264150943396, 0.7169811320754716]","[0.6479170255591221, 0.6229127828223863, 0.6109278293663256, 0.5480998677056927, 0.5599769007928145]",COMPLETE,lgb,0.6681603773584905,0.5979668812492682,14.6
7,0.5685315921571111,2026-04-14 23:08:19.893389,2026-04-14 23:08:28.373477,0 days 00:00:08.480088,0.3986469574823338,0.026000059117302653,6,50,0.3974313630683448,102,1.6172900811143154,0.0019870215385428634,0.7713480415791243,220.6,0.6988207547169811,0.5685315921571111,"[0.6332547169811321, 0.7063679245283019, 0.6816037735849056, 0.7405660377358491, 0.7323113207547169]","[0.6202819080533069, 0.5850462831582656, 0.5896583851261582, 0.515452341525686, 0.5322190429221388]",COMPLETE,lgb,0.6988207547169811,0.5685315921571111,220.6
8,0.5732525371480461,2026-04-14 23:08:28.394604,2026-04-14 23:08:30.544210,0 days 00:00:02.149606,0.810305017628691,0.1601531217136121,3,21,1.726206851751187,28,1.2164139351417065,0.0019777828512462727,0.8534286719238086,47.2,0.6966981132075472,0.5732525371480461,"[0.6297169811320755, 0.6804245283018868, 0.6875, 0.7405660377358491, 0.7452830188679245]","[0.6280913545368868, 0.5892956998951547, 0.593523467613294, 0.5209666307329727, 0.5343855329619226]",COMPLETE,lgb,0.6966981132075472,0.5732525371480461,47.2
9,0.5709990192631719,2026-04-14 23:08:30.574258,2026-04-14 23:08:39.302653,0 days 00:00:08.728395,0.5176876252009635,0.030816017044468066,9,34,0.9444298503238986,115,0.01998634077852888,0.8287522363768158,0.5317791751430119,129.0,0.6950471698113208,0.5709990192631719,"[0.6403301886792453, 0.6886792452830188, 0.6745283018867925, 0.7441037735849056, 0.7275943396226415]","[0.623826066906887, 0.5926765598522858, 0.5974164160082807, 0.5100010060001519, 0.5310750475482543]",COMPLETE,lgb,0.6950471698113208,0.5709990192631719,129.0
