number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
0,0.5837829241280953,2026-04-14 22:38:06.300202,2026-04-14 22:38:11.195282,0 days 00:00:04.895080,0.7190609389379257,4.330880728874676,0.2536999076681772,5,2,0.004207988669606638,0.004207053950287938,0.8659969709057025,15.6,0.6813679245283019,0.5837829241280953,"[0.6096698113207547, 0.660377358490566, 0.6639150943396226, 0.7346698113207547, 0.7382075471698113]","[0.6517388179160543, 0.6157525472611286, 0.602332067612142, 0.5150442832514178, 0.5340469045997339]",COMPLETE,xgb,0.6813679245283019,0.5837829241280953,15.6
1,0.5786836687202618,2026-04-14 22:38:11.217694,2026-04-14 22:38:25.152027,0 days 00:00:13.934333,0.978936896513396,0.9170225492671691,0.11114989443094977,7,4,2.1368329072358767,0.0070689749506246055,0.5102922471479012,39.6,0.697877358490566,0.5786836687202618,"[0.6308962264150944, 0.6957547169811321, 0.6863207547169812, 0.7370283018867925, 0.7393867924528302]","[0.6288454401388587, 0.594392596512308, 0.5967705782149538, 0.5391545942226662, 0.5342551345125219]",COMPLETE,xgb,0.697877358490566,0.5786836687202618,39.6
2,0.5695974676549165,2026-04-14 22:38:25.172653,2026-04-14 22:38:34.861924,0 days 00:00:09.689271,0.5038603981386294,1.8318092164684585,0.05958389350068958,5,6,0.2801635158716261,0.003613894271216527,0.7159725093210578,81.0,0.7018867924528303,0.5695974676549165,"[0.6403301886792453, 0.6969339622641509, 0.6898584905660378, 0.7488207547169812, 0.7334905660377359]","[0.6256271896177523, 0.5864746338885908, 0.5860928399681528, 0.5183661861245531, 0.5314264886755335]",COMPLETE,xgb,0.7018867924528303,0.5695974676549165,81.0
3,0.5813826305805889,2026-04-14 22:38:34.880652,2026-04-14 22:38:40.409793,0 days 00:00:05.529141,0.6599641068895281,0.8526206184364576,0.14447746112718687,6,13,0.23423849847112907,0.0015339162591163618,0.5998368910791798,30.6,0.6839622641509433,0.5813826305805889,"[0.6332547169811321, 0.6662735849056604, 0.6650943396226415, 0.7299528301886793, 0.7252358490566038]","[0.6339014759035816, 0.6016711153184126, 0.5950400870248062, 0.525057303248587, 0.5512431714075572]",COMPLETE,xgb,0.6839622641509433,0.5813826305805889,30.6
4,0.5755294850947663,2026-04-14 22:38:40.423708,2026-04-14 22:38:44.878740,0 days 00:00:04.455032,0.8658781436815228,2.2007624686980067,0.2521267904777921,3,14,0.01653693718282442,0.002458603276328005,0.9828160165372797,28.6,0.694811320754717,0.5755294850947663,"[0.6438679245283019, 0.6792452830188679, 0.6792452830188679, 0.7476415094339622, 0.7240566037735849]","[0.6236527181904792, 0.5955455338705393, 0.5963077459171054, 0.520506204204039, 0.5416352232916681]",COMPLETE,xgb,0.694811320754717,0.5755294850947663,28.6
5,0.5646574213127087,2026-04-14 22:38:44.895997,2026-04-14 22:38:56.334306,0 days 00:00:11.438309,0.9365242814551473,2.600340105889054,0.05388108577817234,3,7,0.010842262717330166,0.4467752817973907,0.5171942605576092,132.4,0.7028301886792454,0.5646574213127087,"[0.6485849056603774, 0.6981132075471698, 0.6886792452830188, 0.7358490566037735, 0.7429245283018868]","[0.6137076307135015, 0.5873449131103422, 0.580081243230398, 0.515386024369251, 0.5267672951400507]",COMPLETE,xgb,0.7028301886792454,0.5646574213127087,132.4
6,0.576080372186835,2026-04-14 22:38:56.352631,2026-04-14 22:39:26.717339,0 days 00:00:30.364708,0.8425929763527802,4.609371175115584,0.01875220945578641,6,12,5.727904470799623,3.7958531426706403,0.9847923138822793,294.4,0.6971698113207548,0.576080372186835,"[0.6226415094339622, 0.6992924528301887, 0.6851415094339622, 0.7441037735849056, 0.7346698113207547]","[0.6336936628874249, 0.5962068125019071, 0.5879891264780253, 0.5299890414050128, 0.5325232176618055]",COMPLETE,xgb,0.6971698113207548,0.576080372186835,294.4
7,0.5662345554412822,2026-04-14 22:39:26.731118,2026-04-14 22:39:44.858715,0 days 00:00:18.127597,0.527731231534285,1.7837666334679465,0.01947558230629543,3,17,0.03586816498627549,0.01217295809836997,0.522613644455269,326.2,0.7037735849056604,0.5662345554412822,"[0.6344339622641509, 0.7040094339622641, 0.6933962264150944, 0.7441037735849056, 0.7429245283018868]","[0.6208656342185598, 0.5848358514350755, 0.575112477584579, 0.5199833793732305, 0.530375434594966]",COMPLETE,xgb,0.7037735849056604,0.5662345554412822,326.2
8,0.5653592226862181,2026-04-14 22:39:44.872995,2026-04-14 22:39:56.989095,0 days 00:00:12.116100,0.8615378865278278,0.993578407670862,0.06333268775321842,4,16,0.0019870215385428634,8.862326508576253,0.5704621124873813,112.4,0.6971698113207546,0.5653592226862181,"[0.6356132075471698, 0.6933962264150944, 0.6827830188679245, 0.7382075471698113, 0.7358490566037735]","[0.6172739319175583, 0.5834215586841092, 0.5802722340014206, 0.5170479456752356, 0.5287804431527665]",COMPLETE,xgb,0.6971698113207546,0.5653592226862181,112.4
9,0.5726718408945274,2026-04-14 22:39:57.001553,2026-04-14 22:40:02.617954,0 days 00:00:05.616401,0.810305017628691,0.5793452976256486,0.1601531217136121,3,8,1.2164139351417065,0.0019777828512462727,0.8534286719238086,46.4,0.6988207547169811,0.5726718408945274,"[0.6474056603773585, 0.6745283018867925, 0.6910377358490566, 0.75, 0.7311320754716981]","[0.6301809187275148, 0.5927214069293106, 0.5877044740589723, 0.5211966446593318, 0.5315557600975077]",COMPLETE,xgb,0.6988207547169811,0.5726718408945274,46.4
